SN,Enunciado,Category
1,Hallar todas las formas de expresar $2003$ como la suma de los cuadrados de dos números enteros.,1
2,En cada casilla de un tablero $m\times n$ se encuentra un número real. Se permite cambiar todos los números de una fila o de una columna de signo tantas veces como queramos. Demostrar que puede conseguirse que las sumas de los elementos cada fila y cada columna sean no negativas independientemente de la configuración inicial.,1
3,"Sea  $a_1,a_2,\ldots$ una progresión aritmética no constante de números reales. Supongamos que existen enteros primos entre sí $p,q\gt 1$ para los que $a_1^2$, $a_{p+1}^2$ y $a_{q+1}^2$ son también elementos de la misma sucesión. Demostrar que todos los términos de la sucesión son enteros.",1
4,"Sean $p$ y $q$ números enteros tales que
\[1-\frac{1}{2}+\frac{1}{3}-\frac{1}{4}+\ldots-\frac{1}{1318}+\frac{1}{1319}=\frac{p}{q}.\]
Demostrar que $p$ es divisible entre $1979$.",1
5,"Demostrar que el siguiente número entero es compuesto:
\[\frac{5^{125}-1}{5^{25}-1}.\]",1
6,"Si los números del $11111$ al $99999$ se colocan en algún orden formando un número de $444445$ cifras, demostrar que dicho número no es una potencia de $2$.",1
7,"Dado un número natural $n$, denotaremos por $s(n)$ a la suma de los dígitos de $n$ (por ejemplo, tenemos que $s(436)=4+3+6=13$). Hallar todas las soluciones de la ecuación
\[n+s(n)+s(s(n))=2018.\]",1
8,"Sean $p$ un número primo impar y $a$ y $b$ enteros positivos. Si el exponente de $p$ en $a-1$ es $\alpha\geq 1$ y el exponente de $p$ en $b$ es $\beta\geq 0$, demostrar que el exponente de $p$ en $a^b-1$ es $\alpha+\beta$.

(Cuando decimos que $e$ es el exponente de $p$ en un número $n$, queremos decir que es el exponente en su factorización como producto de números primos, es decir, que $p^e$ divide a $n$ pero $p^{e+1}$ no divide a $n$.)",1
9,"Determinar todos los números enteros positivos $p$ y $n$ tales que $p$ es primo y 
\[8p+120=1+2+\ldots+n.\]",1
10,"Probar que, para todo número racional positivo $r$, existen enteros positivos $a,b,c,d$ tales que
\[r=\frac{a^3+b^3}{c^3+d^3}.\]",1
11,"Un entero positivo se llama monótono si sus dígitos en base decimal de izquierda a derecha forma una sucesión no decreciente. Demostrar que, para cada entero positivo $n$ existe un número monótono de $n$ dígitos que es cuadrado perfecto.",1
12,"Dado un entero $n\geq 2$, demostrar que existe un conjunto $S$ de $n$ números enteros tales que $(a-b)^2$ divide a $ab$ para cualesquiera $a,b\in S$.",1
13,"Sean $a,p,n\in\mathbb{N}$ enteros positivos con $p$ primo. Demostrar que si $2^p+3^p=a^n$, entonces $n=1$.",1
14,"Probar que, para cada $n\in\mathbb{N}$, existe un número entero $N$ que puede ser expresado como la suma de dos cuadrados y que, además, cumple que $n\leq N\leq n+2\sqrt{2}\sqrt[4]{n}$.",1
15,"Decimos que un número entero positivo es un número ondulante si sus dígitos en base 10 son alternativamente cero y distinto de cero, siendo el dígito de las unidades distinto de cero. Determinar todos los enteros positivos que no dividen a ningún número ondulante.",1
16,"Probar que entre $39$ números naturales consecutivos, siempre existe uno tal que la suma de sus cifras es múltiplo de $11$.",1
17,"Dados dos números naturales $a,b\in\mathbb{N}$, ¿pueden ser $a^2+b$ y $b^2+a$ ambos cuadrados perfectos?",1
18,Demostrar que los binomios $25x+31y$ y $3x+7y$ son múltiplos de 41 para los mismos valores enteros de $x$ e $y$.,1
19,"Hallar todos los enteros positivos $n$ tales que 
\[n=s+u^2{,}\]
donde $s$ es la suma de las cifras de $n$ y $u$ su cifra de las unidades. ",1
20,"Encontrar todas las soluciones naturales de la ecuación
\[\frac{1}{m}+\frac{1}{n}+\frac{1}{mn^2}=\frac{3}{4}{.}\]
",1
21,"Dado un número entero positivo, consideremos la operación consistente en restarle su mayor divisor propio. Partiendo del número $19^{19}$ y aplicando reiteradamente esta operación se obtiene el número 1. Determinar cuántas veces se ha aplicado la operación.",1
22,"Dados los números racionales $r$, $q$ y $n$ tales que
\[\frac{1}{r+qn}+\frac{1}{q+rn}=\frac{1}{r+q}{,}\]
demostrar que $\sqrt{\frac{n-3}{n+1}}$ es un número racional.",1
